# N1   ,N2     ,N12  ,t [s]
262347 ,248378 ,1330 ,100
262245 ,248711 ,1298 ,100
263161 ,248609 ,1444 ,100
262629 ,249076 ,1335 ,100
130991 ,123648 , 715 , 50
131614 ,123516 , 662 , 50
131074 ,124495 , 682 , 50
131675 ,123919 , 698 , 50
 52333 , 49505 , 264 , 20
 52679 , 49650 , 268 , 20
 52688 , 49745 , 237 , 20
 52245 , 49892 , 269 , 20
 25747 , 24572 , 118 , 10
 26334 , 24809 , 122 , 10
 26028 , 25021 , 129 , 10
 25835 , 24800 , 154 , 10
183869 ,174112 , 949 , 70
183623 ,173688 , 917 , 70
183756 ,174237 , 949 , 70
183432 ,174478 , 919 , 70
798767 ,755731 ,4000 ,304.3
733729, 684636, 3701, 276.6
591615, 541837, 3000, 220.2
508291, 462940, 2501, 189.1